loan_id,age,income,employment_years,credit_score,loan_amount,loan_term_months,interest_rate,debt_to_income,home_ownership,loan_purpose,previous_defaults,loan_status
L000950,22,138348,5,691,33905,36,15.84,0.53,Rent,Home,2,1
L000503,41,87791,12,800,34074,60,12.94,0.78,Rent,Auto,0,0
L000328,27,90692,8,375,14052,36,17.09,0.7,Own,Auto,0,0
L000898,55,119786,37,719,11111,24,14.58,0.22,Rent,Personal,0,0
L000118,69,54755,15,446,24194,60,8.33,0.71,Own,Business,0,1
L000955,25,17683,29,721,2118,12,11.6,0.57,Own,Auto,0,1
L000909,21,109673,35,500,41134,36,3.2,0.57,Rent,Home,0,0
L000283,49,76692,15,595,20431,36,16.3,0.28,Rent,Business,2,0
L000919,32,45879,12,428,11141,12,15.74,0.78,Mortgage,Education,1,1
L000124,24,31875,14,494,48627,36,9.13,0.29,Mortgage,Auto,1,1
L000748,52,90998,5,372,35099,24,16.44,0.71,Rent,Home,2,1
L000365,46,142446,31,447,2798,12,12.62,0.13,Own,Business,0,1
L000986,28,103957,32,723,26602,60,8.16,0.07,Mortgage,Personal,1,1
L000142,34,20817,25,313,28077,36,9.04,0.46,Mortgage,Business,0,1
L000399,28,119968,25,709,19346,24,17.87,0.75,Mortgage,Education,1,1
L000857,61,15169,32,342,1974,24,11.15,0.79,Rent,Education,2,1
L000866,41,102761,12,589,39191,24,14.57,0.73,Mortgage,Education,0,0
L000722,51,47911,39,400,4487,12,5.11,0.71,Mortgage,Education,0,1
L000752,54,133855,1,400,29402,24,8.47,0.45,Own,Education,1,1
L000920,44,61544,13,463,1781,24,12.84,0.64,Mortgage,Auto,0,0
L000532,49,71190,14,411,21002,60,15.81,0.54,Mortgage,Education,0,1
L000938,70,96316,7,660,4689,12,4.62,0.5,Own,Personal,1,1
L000341,64,42675,4,315,14588,12,17.75,0.28,Rent,Auto,1,1
L000161,38,135631,9,806,4101,60,5.7,0.32,Mortgage,Education,0,0
L000486,37,148153,15,428,3763,12,13.86,0.22,Rent,Business,0,1
L000488,23,135917,15,810,42414,36,17.67,0.76,Mortgage,Business,0,1
